Loading Data...
./datasets_phish_scam/undirected-30000.pkl
Graph Edge Count: 1268798
Graph Average Degree: 84.58653333333334
Graph Node Count: 30000
Undirected Graph Edge Count: 1268798
Undirected Graph Average Degree: 84.58653333333334
Undirected Graph Node Count: 30000
Labeled Node Count: 125
========================training times:0========================
Extracting 1-hop subgraphs...
Done!
Extracting 1-hop subgraphs...
Done!
SGFormer
Start Training...
Now Best: {'train_loss': 0.7904728651046753, 'val_loss': 0.7514668703079224, 'precision': 0.0014124293785310734, 'recall': 0.17391304347826086, 'F1': 0.0028021015761821367, 'Micro F1:': 0.4306}
Epoch: 01, Train_Loss: 0.7905, Val_Loss: 0.7515, Precision: 0.0014, Recall: 0.1739, F1: 0.0028, Micro F1: 0.4306
Now Best: {'train_loss': 0.7544387578964233, 'val_loss': 0.6860702037811279, 'precision': 0.0017740981667652277, 'recall': 0.13043478260869565, 'F1': 0.0035005834305717625, 'Micro F1:': 0.6584}
Epoch: 02, Train_Loss: 0.7544, Val_Loss: 0.6861, Precision: 0.0018, Recall: 0.1304, F1: 0.0035, Micro F1: 0.6584
Now Best: {'train_loss': 0.7161698937416077, 'val_loss': 0.6301450133323669, 'precision': 0.002188183807439825, 'recall': 0.13043478260869565, 'F1': 0.00430416068866571, 'Micro F1:': 0.7224}
Epoch: 03, Train_Loss: 0.7162, Val_Loss: 0.6301, Precision: 0.0022, Recall: 0.1304, F1: 0.0043, Micro F1: 0.7224
Now Best: {'train_loss': 0.6766492128372192, 'val_loss': 0.5808214545249939, 'precision': 0.0022007042253521128, 'recall': 0.10869565217391304, 'F1': 0.004314063848144953, 'Micro F1:': 0.7692}
Epoch: 04, Train_Loss: 0.6766, Val_Loss: 0.5808, Precision: 0.0022, Recall: 0.1087, F1: 0.0043, Micro F1: 0.7692
Now Best: {'train_loss': 0.6476004719734192, 'val_loss': 0.5371156930923462, 'precision': 0.0028296547821165816, 'recall': 0.10869565217391304, 'F1': 0.005515719801434086, 'Micro F1:': 0.8197}
Epoch: 05, Train_Loss: 0.6476, Val_Loss: 0.5371, Precision: 0.0028, Recall: 0.1087, F1: 0.0055, Micro F1: 0.8197
Now Best: {'train_loss': 0.6167261004447937, 'val_loss': 0.4975478947162628, 'precision': 0.004163197335553705, 'recall': 0.10869565217391304, 'F1': 0.00801924619085806, 'Micro F1:': 0.8763}
Epoch: 06, Train_Loss: 0.6167, Val_Loss: 0.4975, Precision: 0.0042, Recall: 0.1087, F1: 0.0080, Micro F1: 0.8763
Now Best: {'train_loss': 0.584989607334137, 'val_loss': 0.4617422819137573, 'precision': 0.007326007326007326, 'recall': 0.08695652173913043, 'F1': 0.013513513513513514, 'Micro F1:': 0.9416}
