Loading Data...
./datasets_phish_scam/undirected-50000.pkl
Graph Edge Count: 1566301
Graph Average Degree: 62.65204
Graph Node Count: 50000
Undirected Graph Edge Count: 1566301
Undirected Graph Average Degree: 62.65204
Undirected Graph Node Count: 50000
Labeled Node Count: 197
========================training times:0========================
SGFormer
Start Training...
Now Best: {'train_loss': 0.7046178579330444, 'val_loss': 0.6226853132247925, 'precision': 0.009544787077826725, 'recall': 0.33766233766233766, 'F1': 0.01856479828632631, 'Micro F1:': 0.8350632987340253}
Epoch: 01, Train_Loss: 0.7046, Val_Loss: 0.6227, Precision: 0.0095, Recall: 0.3377, F1: 0.0186, Micro F1: 0.8351
Now Best: {'train_loss': 0.6682178974151611, 'val_loss': 0.5518035888671875, 'precision': 0.01231060606060606, 'recall': 0.16883116883116883, 'F1': 0.02294792586054722, 'Micro F1:': 0.9335813283734326}
Epoch: 02, Train_Loss: 0.6682, Val_Loss: 0.5518, Precision: 0.0123, Recall: 0.1688, F1: 0.0229, Micro F1: 0.9336
Epoch: 03, Train_Loss: 0.6321, Val_Loss: 0.4952, Precision: 0.0067, Recall: 0.0260, F1: 0.0107, Micro F1: 0.9778
Epoch: 04, Train_Loss: 0.5960, Val_Loss: 0.4487, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9944
Epoch: 05, Train_Loss: 0.5621, Val_Loss: 0.4087, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 06, Train_Loss: 0.5302, Val_Loss: 0.3737, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 07, Train_Loss: 0.5056, Val_Loss: 0.3435, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 08, Train_Loss: 0.4761, Val_Loss: 0.3171, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 09, Train_Loss: 0.4473, Val_Loss: 0.2941, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 10, Train_Loss: 0.4224, Val_Loss: 0.2742, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 11, Train_Loss: 0.3965, Val_Loss: 0.2566, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 12, Train_Loss: 0.3716, Val_Loss: 0.2407, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 13, Train_Loss: 0.3540, Val_Loss: 0.2265, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 14, Train_Loss: 0.3375, Val_Loss: 0.2137, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 15, Train_Loss: 0.3190, Val_Loss: 0.2019, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 16, Train_Loss: 0.3022, Val_Loss: 0.1909, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 17, Train_Loss: 0.2891, Val_Loss: 0.1808, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 18, Train_Loss: 0.2710, Val_Loss: 0.1712, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 19, Train_Loss: 0.2565, Val_Loss: 0.1622, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 20, Train_Loss: 0.2442, Val_Loss: 0.1538, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 21, Train_Loss: 0.2346, Val_Loss: 0.1461, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 22, Train_Loss: 0.2213, Val_Loss: 0.1388, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 23, Train_Loss: 0.2127, Val_Loss: 0.1320, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 24, Train_Loss: 0.2025, Val_Loss: 0.1260, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 25, Train_Loss: 0.1934, Val_Loss: 0.1205, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 26, Train_Loss: 0.1837, Val_Loss: 0.1154, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 27, Train_Loss: 0.1751, Val_Loss: 0.1108, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 28, Train_Loss: 0.1678, Val_Loss: 0.1066, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 29, Train_Loss: 0.1597, Val_Loss: 0.1028, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 30, Train_Loss: 0.1548, Val_Loss: 0.0993, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 31, Train_Loss: 0.1452, Val_Loss: 0.0961, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 32, Train_Loss: 0.1401, Val_Loss: 0.0931, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 33, Train_Loss: 0.1352, Val_Loss: 0.0905, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
